run_dir,date_dir,scenario_guess,log_files_top_level,csv_files_recursive,png_files_recursive,avg_prr,avg_latency_ms,incident_applied_count,sionna_mentioned,in_chatgpt_exports,eva_drop_phy_total,eva_cam_drop_phy,eva_cpm_drop_phy,eva_ctrl_events_total,eva_drop_decision_match_ratio
/home/afetz/work/clean/NEWWAY/analysis/scenario_runs/chatgpt_exports/2026-02-19/batch-main-161949/v2v-coexistence-80211p-nrv2x,batch-main-161949,v2v-coexistence-80211p-nrv2x,1,1,3,0.924245,0.49146,0,0,1,,,,,
/home/afetz/work/clean/NEWWAY/analysis/scenario_runs/2026-02-18/cam-sionna-backend-compare-1600/non_sionna,cam-sionna-backend-compare-1600,v2v-cam-exchange-sionna-nrv2x,1,3,2,,,0,0,0,,,,,
/home/afetz/work/clean/NEWWAY/analysis/scenario_runs/2026-02-19/eva-baseline-lossy-smoke2-180921/baseline,eva-baseline-lossy-smoke2-180921,v2v-emergencyVehicleAlert-nrv2x,1,47,1,0.831655,11.0709,1,0,0,0.0,0.0,0.0,0.0,
/home/afetz/work/clean/NEWWAY/analysis/scenario_runs/2026-02-19/eva-baseline-lossy-smoke2-180921/lossy,eva-baseline-lossy-smoke2-180921,v2v-emergencyVehicleAlert-nrv2x,1,47,1,0.831655,11.0709,1,0,0,0.0,0.0,0.0,0.0,
/home/afetz/work/clean/NEWWAY/analysis/scenario_runs/2026-02-19/eva-baseline-lossy-smoke3-181624/baseline,eva-baseline-lossy-smoke3-181624,v2v-emergencyVehicleAlert-nrv2x,1,47,1,0.831655,11.0709,1,0,0,0.0,0.0,0.0,0.0,
/home/afetz/work/clean/NEWWAY/analysis/scenario_runs/2026-02-19/eva-baseline-lossy-smoke3-181624/lossy,eva-baseline-lossy-smoke3-181624,v2v-emergencyVehicleAlert-nrv2x,1,47,1,0.831655,11.0709,1,0,0,0.0,0.0,0.0,0.0,
/home/afetz/work/clean/NEWWAY/analysis/scenario_runs/2026-02-21/eva-crash-proof-check-123244/baseline,eva-crash-proof-check-123244,v2v-emergencyVehicleAlert-nrv2x,1,6,3,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,
/home/afetz/work/clean/NEWWAY/analysis/scenario_runs/2026-02-21/eva-crash-proof-check-123244/lossy,eva-crash-proof-check-123244,v2v-emergencyVehicleAlert-nrv2x,1,6,3,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,
/home/afetz/work/clean/NEWWAY/analysis/scenario_runs/2026-02-21/eva-crash-proof-check2-123751/baseline,eva-crash-proof-check2-123751,v2v-emergencyVehicleAlert-nrv2x,1,6,3,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,
/home/afetz/work/clean/NEWWAY/analysis/scenario_runs/2026-02-21/eva-crash-proof-check2-123751/lossy,eva-crash-proof-check2-123751,v2v-emergencyVehicleAlert-nrv2x,1,6,3,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,
/home/afetz/work/clean/NEWWAY/analysis/scenario_runs/2026-02-21/eva-dense-risk-check-122657/baseline,eva-dense-risk-check-122657,v2v-emergencyVehicleAlert-nrv2x,1,28,2,1.0,11.7104,1,0,0,0.0,0.0,0.0,0.0,
/home/afetz/work/clean/NEWWAY/analysis/scenario_runs/2026-02-21/eva-dense-risk-check-122657/lossy,eva-dense-risk-check-122657,v2v-emergencyVehicleAlert-nrv2x,1,28,2,0.536036,13.2623,1,0,0,0.0,0.0,0.0,0.0,
/home/afetz/work/clean/NEWWAY/analysis/scenario_runs/2026-02-18/eva-loss-sweep-1550/drop_0p0,eva-loss-sweep-1550,v2v-emergencyVehicleAlert-nrv2x,1,45,4,0.952859,12.0656,0,0,0,0.0,0.0,0.0,0.0,
/home/afetz/work/clean/NEWWAY/analysis/scenario_runs/2026-02-18/eva-loss-sweep-1550/drop_0p4,eva-loss-sweep-1550,v2v-emergencyVehicleAlert-nrv2x,1,45,4,0.952314,12.1538,0,0,0,0.0,0.0,0.0,0.0,
/home/afetz/work/clean/NEWWAY/analysis/scenario_runs/2026-02-18/eva-loss-sweep-1550/drop_0p8,eva-loss-sweep-1550,v2v-emergencyVehicleAlert-nrv2x,1,45,4,0.951845,12.0064,0,0,0,0.0,0.0,0.0,0.0,
/home/afetz/work/clean/NEWWAY/analysis/scenario_runs/2026-02-19/batch-main-161949/eva-loss-sweep-incident-v2/drop_0p0,eva-loss-sweep-incident-v2,v2v-emergencyVehicleAlert-nrv2x,1,55,9,0.959643,12.3156,1,0,0,0.0,0.0,0.0,0.0,
